# Based on 204 kg values and assuming a linear relationship between weight and resistance 
WEIGHT	153

VELOCITY	TOTAL_DRAG
0	0
0.402358436	3.72
0.775976983	7.45
1.07774581	12.11
1.66691352	22.37
2.069271955	32.61
2.557850056	53.11
2.931468603	71.75
3.276347263	89.46
3.664335754	109.03
3.994844469	126.74
4.555272291	156.56
5.072590279	184.5
5.546798436	209.7
5.963526816	231.1
6.380255196	251.6
6.840093408	274.0
7.199342011	292.6
7.687920112	316.8
8.018428827	333.6
100	4715
